country,other,km
Afghanistan,Pakistan,2430
Albania,Greece,282
Algeria,Morocco,1559
Andorra,Spain,64
Angola,DR Congo,2511
Antigua and Barbuda,
Argentina,Chile,5300
Armenia,Azerbaijan,787
Australia,
Austria,Germany,784
Azerbaijan,Armenia,787
Bahamas,
Bahrain,
Bangladesh,India,4053
Barbados,
Belarus,Russia,959
Belgium,France,620
Belize,Guatemala,266
Benin,Nigeria,773
Bhutan,India,605
Bolivia,Brazil,3400
Bosnia,Croatia,932
Botswana,South Africa,1840
Brazil,Bolivia,3400
Brunei,Malaysia,381
Bulgaria,Romania,608
Burkina Faso,Mali,1000
Burundi,Tanzania,451
Cambodia,Vietnam,1228
Cameroon,Nigeria,1690
Canada,USA,8893
Cape Verde,
Central African Republic,DR Congo,1577
Chad,Sudan,1360
Chile,Argentina,5300
China,Mongolia,4677
Colombia,Venezuela,2050
Comoros,
Congo,DR Congo,2410
Costa Rica,Panama,330
Croatia,Bosnia,932
Cuba,
Cyprus,
Czech Republic,Germany,815
DR Congo,Angola,2511
Denmark,Germany,68
Djibouti,Ethiopia,342
Dominica,
Dominican Republic,Haiti,360
East Timor,Indonesia,228
Ecuador,Peru,1420
Egypt,Sudan,1273
El Salvador,Honduras,342
Equatorial Guinea,Gabon,350
Eritrea,Ethiopia,912
Estonia,Latvia,339
Eswatini,South Africa,430
Ethiopia,Somalia,1600
Fiji,
Finland,Russia,1340
France,Brazil,673
Gabon,Congo,1903
Gambia,Senegal,740
Georgia,Russia,723
Germany,Czech Republic,815
Ghana,Togo,877
Greece,Bulgaria,494
Grenada,
Guatemala,Mexico,962
Guinea,Mali,858
Guinea-Bissau,Guinea,386
Guyana,Brazil,1119
Haiti,Dominican Republic,360
Honduras,Nicaragua,922
Hungary,Slovakia,677
Iceland,
India,Bangladesh,4053
Indonesia,Malaysia,1782
Iran,Iraq,1458
Iraq,Iran,1458
Ireland,UK,499
Israel,Palestine,358
Italy,Switzerland,740
Ivory Coast,Liberia,716
Jamaica,
Japan,
Jordan,Saudi Arabia,744
Kazakhstan,Russia,6846
Kenya,Uganda,933
Kiribati,
Kosovo,Serbia,352
Kuwait,Iraq,240
Kyrgyzstan,Uzbekistan,1099
Laos,Vietnam,2130
Latvia,Lithuania,453
Lebanon,Syria,375
Lesotho,South Africa,909
Liberia,Ivory Coast,716
Libya,Egypt,1115
Liechtenstein,Switzerland,41
Lithuania,Belarus,502
Luxembourg,Belgium,148
Madagascar,
Malawi,Mozambique,1569
Malaysia,Indonesia,1782
Maldives,
Mali,Mauritania,2237
Malta,
Marshall Islands,
Mauritania,Mali,2237
Mauritius,
Mexico,USA,3141
Micronesia,
Moldova,Ukraine,939
Monaco,France,4
Mongolia,China,4677
Montenegro,Bosnia,225
Morocco,Algeria,1559
Mozambique,Malawi,1569
Myanmar,China,2185
Namibia,Angola,1376
Nauru,
Nepal,India,1690
Netherlands,Germany,577
New Zealand,
Nicaragua,Honduras,922
Niger,Nigeria,1497
Nigeria,Cameroon,1690
North Korea,China,1416
North Macedonia,Greece,246
Norway,Sweden,1619
Oman,Saudi Arabia,676
Pakistan,India,2912
Palau,
Palestine,Israel,358
Panama,Costa Rica,330
Papua New Guinea,Indonesia,820
Paraguay,Argentina,1880
Peru,Brazil,1560
Philippines,
Poland,Czech Republic,658
Portugal,Spain,1214
Qatar,Saudi Arabia,60
Romania,Bulgaria,608
Russia,Kazakhstan,6846
Rwanda,Burundi,290
Saint Kitts and Nevis,
Saint Lucia,
Saint Vincent and the Grenadines,
Samoa,
San Marino,Italy,39
Saudi Arabia,Yemen,1458
Senegal,Mauritania,813
Serbia,Romania,476
Seychelles,
Sierra Leone,Guinea,652
Singapore,
Slovakia,Hungary,677
Slovenia,Croatia,670
Solomon Islands,
Somalia,Ethiopia,1600
South Africa,Botswana,1840
South Korea,North Korea,238
South Sudan,Sudan,1937
Spain,Portugal,1214
Sri Lanka,
Sudan,South Sudan,1937
Suriname,Guyana,600
Sweden,Norway,1619
Switzerland,Italy,740
Syria,Turkey,822
São Tomé and Príncipe,
Tajikistan,Afghanistan,1206
Tanzania,Kenya,769
Thailand,Myanmar,1800
Togo,Ghana,877
Tonga,
Trinidad and Tobago,
Tunisia,Algeria,1010
Turkey,Syria,822
Turkmenistan,Uzbekistan,1621
Tuvalu,
UAE,Saudi Arabia,457
UK,Ireland,499
USA,Canada,8893
Uganda,Kenya,933
Ukraine,Russia,1576
Uruguay,Brazil,985
Uzbekistan,Kazakhstan,2203
Vanuatu,
Vatican City,Italy,3
Venezuela,Brazil,2200
Vietnam,Laos,2130
Yemen,Saudi Arabia,1458
Zambia,DR Congo,1930
Zimbabwe,Mozambique,1231
