year,name,score,description,region,image_url
1900,Heinrich Himmler,0.8737380082556351,German Nazi,europe,http://www.ww2incolor.com/d/9097-11/pt_2323_heinrich_himmler_75dpi.jpg
1901,Walt Disney,0.9037193720425004,US film producer,americas,http://www.trbimg.com/img-5481f641/turbine/os-walt-disney-birthday-2014
1902,Charles Lindbergh,0.8688263380319584,US aviator,americas,https://www.henrymakow.com/upload_images/charles-lindbergh-color.jpg
1903,George Orwell,0.8935101084136828,British novelist,europe,https://images.gr-assets.com/authors/1450573063p5/3706.jpg
1904,Cary Grant,0.8814411253284421,British-American actor,americas,https://thenypost.files.wordpress.com/2016/08/carygrant.jpg
1905,Ayn Rand,0.8941980173374988,US author,americas,http://4.bp.blogspot.com/-_KZTEEye_o8/Td7FFN-PQHI/AAAAAAAAAQk/WAFrZf9WuAM/s320/PAPAL+CRITICS+%2528AYN+RAND%2529.jpg
1906,Adolf Eichmann,0.8503952453044041,German Nazi,europe,https://upload.wikimedia.org/wikipedia/commons/e/eb/Adolf_Eichmann_at_Trial1961.jpg
1907,Frida Kahlo,0.8991043414072128,Mexican painter,americas,https://d3h6k4kfl8m9p0.cloudfront.net/uploads/2013/01/Frida-Kahlo.jpg
1908,Lyndon B. Johnson,0.9235446944648479,US president,americas,https://upload.wikimedia.org/wikipedia/commons/c/c3/37_Lyndon_Johnson_3x4.jpg
1909,Barry Goldwater,0.8423676834232232,US politician,americas,http://media.washtimes.com.s3.amazonaws.com/media/image/2014/11/17/11172014_ap0709100211728201.jpg
1910,Mother Teresa,0.9063874118072145,Albanian-Indian missionary,south asia,http://68.media.tumblr.com/tumblr_lrk0e1Jkff1qcqvito1_500.jpg
1911,Ronald Reagan,0.967670562513872,US president,americas,https://images.forbes.com/media/2010/07/21/0721_fc-ronald-reagan_400x400.jpg
1912,Alan Turing,0.9029487168459706,British computer scientist,europe,https://i.pinimg.com/236x/68/41/40/684140b42a313f01da0de85af999175d--alan-turing-inspiring-people.jpg
1913,Richard Nixon,0.9335064994795428,US president,americas,http://i35.tinypic.com/13ytqv.jpg
1914,Joe DiMaggio,0.8451066702518397,US baseball player,americas,http://mlbfancave.mlb.com/assets/images/custom/Screen_Shot_2012_11_24_at_11.33.49_AM_tyxhu5nx.png
1915,Frank Sinatra,0.930441685788046,US singer,americas,http://assets.nydailynews.com/polopoly_fs/1.2043031.1449871161!/img/httpImage/image.jpg_gen/derivatives/gallery_1200/frank-sinatra.jpg
1916,Roald Dahl,0.8779734239071133,British author,europe,https://www.biography.com/.image/c_fill%2Ccs_srgb%2Cg_face%2Ch_300%2Cq_80%2Cw_300/MTQxNDAyNjQ0MzAzMzI1MDc0/roald_dahl_getty_images_tony_evansgetty_images_108874289_croppedjpg.jpg
